uniprot_id,gene,description,in_hpa_muscle,in_blood_blacklist,reason
Q16821,PPP1R3A,Protein phosphatase 1 regulatory subunit 3A,TRUE,FALSE,Missingness
Q9HAB8,PPCS,Phosphopantothenate--cysteine ligase,TRUE,FALSE,Missingness
Q13574,DGKZ,Diacylglycerol kinase zeta,TRUE,FALSE,Missingness
Q05193,DNM1,Dynamin-1,TRUE,FALSE,Missingness
P08253,MMP2,72 kDa type IV collagenase,TRUE,FALSE,Missingness
Q9BY44,EIF2A,Eukaryotic translation initiation factor 2A,TRUE,FALSE,Missingness
Q567U6,CCDC93,Coiled-coil domain-containing protein 93,TRUE,FALSE,Missingness
Q12955,ANK3,Ankyrin-3,TRUE,FALSE,Missingness
Q4G0N4,NADK2,"NAD kinase 2, mitochondrial",TRUE,FALSE,Missingness
Q7L5D6,GET4,Golgi to ER traffic protein 4 homolog,TRUE,FALSE,Missingness
O00142,TK2,"Thymidine kinase 2, mitochondrial",TRUE,FALSE,Missingness
Q01814,ATP2B2,Plasma membrane calcium-transporting ATPase 2,TRUE,FALSE,Missingness
Q9H2J4,PDCL3,Phosducin-like protein 3,TRUE,FALSE,Missingness
Q9P0V9,SEPTIN10,Septin-10,TRUE,FALSE,Missingness
Q16666,IFI16,Gamma-interferon-inducible protein 16,TRUE,FALSE,Missingness
Q15629,TRAM1,Translocating chain-associated membrane protein 1,TRUE,FALSE,Missingness
O95721,SNAP29,Synaptosomal-associated protein 29,TRUE,FALSE,Missingness
Q14157,UBAP2L,Ubiquitin-associated protein 2-like,TRUE,FALSE,Missingness
Q96MM6,HSPA12B,Heat shock 70 kDa protein 12B,TRUE,FALSE,Missingness
Q14232,EIF2B1,Translation initiation factor eIF-2B subunit alpha,TRUE,FALSE,Missingness
Q6UVK1,CSPG4,Chondroitin sulfate proteoglycan 4,TRUE,FALSE,Missingness
P49914,MTHFS,5-formyltetrahydrofolate cyclo-ligase,TRUE,FALSE,Missingness
Q16629,SRSF7,Serine/arginine-rich splicing factor 7,TRUE,FALSE,Missingness
Q86VU5,COMTD1,Catechol O-methyltransferase domain-containing protein 1,TRUE,FALSE,Missingness
