"","uniprot_id","protein","gene","description","in_hpa_muscle","in_blood_blacklist","flag_source"
"87","P02655","APOC2_HUMAN","APOC2","Apolipoprotein C-II",TRUE,TRUE,"Blood Blacklist"
"88","P02656","APOC3_HUMAN","APOC3","Apolipoprotein C-III",FALSE,TRUE,"HPA"
"89","P02671","FIBA_HUMAN","FGA","Fibrinogen alpha chain",FALSE,TRUE,"HPA"
"90","P02675","FIBB_HUMAN","FGB","Fibrinogen beta chain",FALSE,TRUE,"HPA"
"91","P02679","FIBG_HUMAN","FGG","Fibrinogen gamma chain",FALSE,TRUE,"HPA"
"92","P02689","MYP2_HUMAN","PMP2","Myelin P2 protein",FALSE,FALSE,"HPA"
"93","P02724","GLPA_HUMAN","GYPA","Glycophorin-A",FALSE,FALSE,"HPA"
"94","P02730","B3AT_HUMAN","SLC4A1","Band 3 anion transport protein",FALSE,FALSE,"HPA"
"95","P02743","SAMP_HUMAN","APCS","Serum amyloid P-component",FALSE,FALSE,"HPA"
"96","P02745","C1QA_HUMAN","C1QA","Complement C1q subcomponent subunit A",TRUE,TRUE,"Blood Blacklist"
"97","P02746","C1QB_HUMAN","C1QB","Complement C1q subcomponent subunit B",FALSE,TRUE,"HPA"
"98","P02747","C1QC_HUMAN","C1QC","Complement C1q subcomponent subunit C",TRUE,TRUE,"Blood Blacklist"
"99","P02748","CO9_HUMAN","C9","Complement component C9",FALSE,TRUE,"HPA"
"100","P02749","APOH_HUMAN","APOH","Beta-2-glycoprotein 1",FALSE,TRUE,"HPA"
"101","P02760","AMBP_HUMAN","AMBP","Protein AMBP",FALSE,FALSE,"HPA"
"102","P02763","A1AG1_HUMAN","ORM1","Alpha-1-acid glycoprotein 1",TRUE,TRUE,"Blood Blacklist"
"103","P02765","FETUA_HUMAN","AHSG","Alpha-2-HS-glycoprotein",FALSE,FALSE,"HPA"
"104","P02766","TTHY_HUMAN","TTR","Transthyretin",TRUE,TRUE,"Blood Blacklist"
"105","P02768","ALBU_HUMAN","ALB","Serum albumin",TRUE,TRUE,"Blood Blacklist"
"106","P02774","VTDB_HUMAN","GC","Vitamin D-binding protein",FALSE,TRUE,"HPA"
"107","P02775","CXCL7_HUMAN","PPBP","Platelet basic protein",TRUE,TRUE,"Blood Blacklist"
"108","P02776","PLF4_HUMAN","PF4","Platelet factor 4",FALSE,TRUE,"HPA"
"109","P02787","TRFE_HUMAN","TF","Serotransferrin",TRUE,TRUE,"Blood Blacklist"
"110","P02790","HEMO_HUMAN","HPX","Hemopexin",FALSE,TRUE,"HPA"
"111","P04003","C4BPA_HUMAN","C4BPA","C4b-binding protein alpha chain",FALSE,TRUE,"HPA"
"112","P04004","VTNC_HUMAN","VTN","Vitronectin",FALSE,FALSE,"HPA"
