contrast,method_a,method_b,spearman_rho
Training_SURV,cycloess_knn,vsn_bpca,0.970635446646632
Training_SURV,cycloess_bpca,rlr_bpca,0.9865039085552417
Training_SURV,vsn_RF,rlr_bpca,0.9733340596618335
Training_SURV,rlr_RF,rlr_bpca,0.9827760275278502
Training_SURV,cycloess_RF,rlr_bpca,0.9656249905425978
Training_SURV,vsn_knn,rlr_bpca,0.9676363152144637
Training_SURV,rlr_knn,rlr_bpca,0.9760102775482782
Training_SURV,cycloess_knn,rlr_bpca,0.9640763976527483
Training_SURV,vsn_RF,cycloess_bpca,0.9775567519800017
Training_SURV,rlr_RF,cycloess_bpca,0.9742038380408499
Training_SURV,cycloess_RF,cycloess_bpca,0.9827315399072116
Training_SURV,vsn_knn,cycloess_bpca,0.9715875422556737
Training_SURV,rlr_knn,cycloess_bpca,0.9670827923699191
Training_SURV,cycloess_knn,cycloess_bpca,0.9797236320056654
Training_SURV,rlr_RF,vsn_RF,0.9908791298584567
Training_SURV,cycloess_RF,vsn_RF,0.9901721701182401
Training_SURV,vsn_knn,vsn_RF,0.9901730780288656
Training_SURV,rlr_knn,vsn_RF,0.9830704932073153
Training_SURV,cycloess_knn,vsn_RF,0.984695955863438
Training_SURV,cycloess_RF,rlr_RF,0.9852630973673618
Training_SURV,vsn_knn,rlr_RF,0.9820639229607571
Training_SURV,rlr_knn,rlr_RF,0.9903749368245524
Training_SURV,cycloess_knn,rlr_RF,0.9792270048936382
Training_SURV,vsn_knn,cycloess_RF,0.9792714925142768
Training_SURV,rlr_knn,cycloess_RF,0.974403275741536
Training_SURV,cycloess_knn,cycloess_RF,0.9887745930290622
Training_SURV,rlr_knn,vsn_knn,0.9921704814044772
Training_SURV,cycloess_knn,vsn_knn,0.9925626987945972
Training_SURV,cycloess_knn,rlr_knn,0.9874989786005466
