uniprot_id,gene,n_miss,pct_miss,mean_int,class
P54922,ADPRH,3,7.6923076923076925,20.245461622303555,MAR
P35241,RDX,0,0,20.523168996576203,Complete
P29218,IMPA1,0,0,20.489392262480443,Complete
Q9UBQ5,EIF3K,2,5.128205128205128,20.433027549953184,MAR
P28074,PSMB5,1,2.564102564102564,20.473854065093178,MAR
O95210,STBD1,0,0,20.395389605590065,Complete
P12110,COL6A2,8,20.51282051282051,19.330503806600184,MNAR
O60936,NOL3,1,2.564102564102564,20.44986270937172,MAR
Q9Y2Q3,GSTK1,0,0,20.44315311275452,Complete
P60866,RPS20,0,0,20.38426732992043,Complete
O43813,LANCL1,0,0,20.473835002752406,Complete
Q9UKX3,MYH13,4,10.256410256410255,19.775858067365768,MNAR
P46783,RPS10,0,0,20.26570170037397,Complete
P52895,AKR1C2,8,20.51282051282051,19.78706320590565,MNAR
Q9NSD9,FARSB,1,2.564102564102564,20.453127984332486,MAR
P17931,LGALS3,0,0,19.817963800296358,Complete
Q15149,PLEC,0,0,20.28700152246705,Complete
Q9Y6C9,MTCH2,0,0,20.42932363834263,Complete
Q9HC38,GLOD4,0,0,20.365216001223484,Complete
Q9Y6B6,SAR1B,1,2.564102564102564,20.323167621632326,MAR
P27797,CALR,0,0,20.275785716263695,Complete
Q9Y512,SAMM50,0,0,20.278659214132905,Complete
P46926,GNPDA1,0,0,20.42807908902688,Complete
P46781,RPS9,0,0,20.404277028174267,Complete
P17152,TMEM11,5,12.82051282051282,20.405939678884536,MNAR
Q15181,PPA1,0,0,20.28052061020736,Complete
O75608,LYPLA1,0,0,20.355564331704148,Complete
P00167,CYB5A,4,10.256410256410255,19.270521111918207,MNAR
P45974,USP5,0,0,20.333634612704415,Complete
Q9NR12,PDLIM7,1,2.564102564102564,20.187879520528593,MAR
Q9H0W9,C11orf54,0,0,20.277983358556597,Complete
P62244,RPS15A,0,0,20.369293975360588,Complete
P63000,RAC1,0,0,20.365636093880553,Complete
Q9NTM9,CUTC,1,2.564102564102564,20.308772498808235,MAR
Q9BRA2,TXNDC17,0,0,20.315366516798797,Complete
P08865,RPSA,0,0,20.35759772944925,Complete
P62136,PPP1CA,0,0,20.356030349649604,Complete
Q702N8,XIRP1,2,5.128205128205128,20.23906245498731,MAR
P21810,BGN,6,15.384615384615385,19.42095290706884,MNAR
Q9BUF5,TUBB6,0,0,19.627615209527967,Complete
O95563,MPC2,1,2.564102564102564,20.23154452143028,MAR
P50991,CCT4,0,0,20.31471315645869,Complete
P28072,PSMB6,1,2.564102564102564,20.30885464719853,MAR
Q93034,CUL5,0,0,20.271549641819878,Complete
Q9Y3A5,SBDS,0,0,20.26247914095665,Complete
P62750,RPL23A,0,0,20.08034858972921,Complete
O95817,BAG3,1,2.564102564102564,20.283608571805516,MAR
P51858,HDGF,0,0,20.25688320199787,Complete
P05026,ATP1B1,2,5.128205128205128,20.259055189340696,MAR
P19338,NCL,0,0,20.17891812032161,Complete
Q9NZA1,CLIC5,3,7.6923076923076925,20.271849591291204,MNAR
Q06323,PSME1,0,0,20.195535452768613,Complete
P61247,RPS3A,0,0,20.296813418893745,Complete
P50990,CCT8,0,0,20.25582175984875,Complete
Q04637,EIF4G1,0,0,20.286970807658488,Complete
Q9P0L0,VAPA,1,2.564102564102564,20.258590438786992,MAR
P23434,GCSH,0,0,20.164840959357328,Complete
P11171,EPB41,1,2.564102564102564,19.47464803447835,MAR
P15531,NME1,0,0,20.027338347140056,Complete
P21926,CD9,3,7.6923076923076925,19.3201347796718,MAR
P52564,MAP2K6,3,7.6923076923076925,20.26349635178605,MNAR
P48643,CCT5,0,0,20.127446442998615,Complete
P31150,GDI1,0,0,20.224258441277982,Complete
Q8IW45,NAXD,0,0,20.190674239193736,Complete
Q13425,SNTB2,0,0,20.217080898665003,Complete
Q9Y2Z9,COQ6,3,7.6923076923076925,20.130066292503887,MAR
P25398,RPS12,0,0,20.242113280090297,Complete
A6NNS2,DHRS7C,3,7.6923076923076925,20.111367917603772,MAR
P30085,CMPK1,0,0,19.992253284094765,Complete
Q15404,RSU1,0,0,19.971286710612056,Complete
P62906,RPL10A,0,0,20.143447865175304,Complete
P17655,CAPN2,0,0,20.2420372658081,Complete
P68402,PAFAH1B2,1,2.564102564102564,19.92449996572439,MAR
P67809,YBX1,0,0,20.097842713381972,Complete
P51572,BCAP31,3,7.6923076923076925,19.6423912627595,MAR
Q99832,CCT7,0,0,20.180030486267274,Complete
Q15631,TSN,0,0,20.14920280034782,Complete
P49720,PSMB3,0,0,20.10294680365642,Complete
P47756,CAPZB,0,0,20.04044219852137,Complete
P00492,HPRT1,1,2.564102564102564,19.685780026172928,MAR
Q9H1R3,MYLK2,3,7.6923076923076925,20.033739609692383,MAR
O95139,NDUFB6,3,7.6923076923076925,20.055331661891966,MAR
Q16181,SEPTIN7,0,0,19.944156320190665,Complete
P06748,NPM1,0,0,20.109325984985393,Complete
Q13867,BLMH,1,2.564102564102564,20.1180326777944,MAR
Q9UMS6,SYNPO2,0,0,19.859495354378094,Complete
P61956,SUMO2,1,2.564102564102564,19.852059759952088,MAR
Q9H223,EHD4,1,2.564102564102564,19.83278589743905,MAR
Q14697,GANAB,0,0,20.028111506469372,Complete
P62879,GNB2,0,0,19.99823139092031,Complete
Q9Y305,ACOT9,1,2.564102564102564,20.124941903131365,MAR
O14957,UQCR11,2,5.128205128205128,19.99423376469978,MAR
O43399,TPD52L2,0,0,19.900962842446667,Complete
P05388,RPLP0,0,0,20.113053258893533,Complete
P15374,UCHL3,0,0,20.0400696597629,Complete
P45954,ACADSB,1,2.564102564102564,19.996062221871682,MAR
P46782,RPS5,0,0,20.006702437922765,Complete
P02751,FN1,3,7.6923076923076925,19.228685460166613,MAR
